bushtel_id,community,community_type,latitude,longitude,sa2_code,community_sa2_name,join_status,bushtel_profile_url,aliases,sa2_name,mobile_premises_pct,mobile_area_pct,nbn_fixed_premises_pct,nbn_satellite_premises_pct,abs_sa2_name,population_2025,area_km2,population_density_2025,historical_site_name,macro_cell_2022,small_cell_2022,near_cell_2022,provider_2022,historical_match,historical_listed_2022
202,Ali Curung,Major,-21.003334,134.40694,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/202,"WARRABRI, WARRIBRI, ALEKARENGE, ALE-KERANGE, ALEKARANGE",Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,ALI CURUNG,YES,,,TELSTRA,both,True
203,Alpurrurulam,Major,-20.984167,137.84749,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/203,"ILPERRELHELAM, WART ALPARAYETYE, LAKE NASH",Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,ALPURRURULAM,YES,,,TELSTRA,both,True
622,Amanbidji,Major,-16.428055,129.6189,702051068,Victoria River,matched,https://bushtel.nt.gov.au/profile/622,"AMANBIDGEE STATION, MIALUNI, KILDURK",Victoria River,57,8,0,100,Victoria River,3147,133608.8,0.0,,,,,,left_only,False
9,Amoonguna,Major,-23.7663194436,133.9359861111,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/9,,Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,AMOONGUNA,,,YES,OPTUS/TELSTRA,both,True
10,Ampilatwatja,Major,-21.65664,135.22509,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/10,"AHARRENG, AHERRE, AMMAROO, AMPERLATWATYE, AMMARO",Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,AMPILATWATJA,YES,,,TELSTRA,both,True
451,Angurugu,Major,-13.9822361111,136.4605694444,702041062,Anindilyakwa,matched,https://bushtel.nt.gov.au/profile/451,,Anindilyakwa,98,34,0,100,Anindilyakwa,2977,2609.0,1.1,ANGURUGU,YES,,,TELSTRA,both,True
147,Arawerr,Minor,-22.01371,134.84618,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/147,"ARRAWARRA, SOAPY BORE, IYNGIYNYALA",Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,,,,,,left_only,False
20,Areyonga,Major,-24.073612,132.27083,702011053,Tanami,matched,https://bushtel.nt.gov.au/profile/20,UTJU,Tanami,68,6,0,100,Tanami,3399,192662.3,0.0,,,,,,left_only,False
42,Atitjere,Major,-22.9843,134.9341,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/42,"HART RANGE, HARTS RANGE, ARLTARLPILTA",Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,ATITJERE,YES,,,TELSTRA,both,True
458,Baniyala,Minor,-13.2004,136.2261,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/458,"BANYALA, YILPARA",East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,,,,,,left_only,False
580,Barunga,Major,-14.523625,132.8666805556,702051065,Elsey,matched,https://bushtel.nt.gov.au/profile/580,BAMYILI,Elsey,74,12,0,100,Elsey,2695,92949.7,0.0,BARUNGA,YES,,,TELSTRA,both,True
294,Belyuen,Major,-12.5386,130.6999,702031057,Alligator,matched,https://bushtel.nt.gov.au/profile/294,"DELISAVILLE, DELISSAVILLE",Alligator,97,56,32,68,Alligator,4892,33100.7,0.1,BELYUEN,YES,,,TELSTRA,both,True
