rank_60_40,sa2_code,sa2_name,mobile_premises_gap,nbn_fixed_gap,score_50_50,score_60_40,score_70_30,mapped_communities,direct_2022_name_matches
1,702051068,Victoria River,43,100,71.5,65.8,60.099999999999994,7,5
2,702021055,Barkly,38,100,69.0,62.8,56.599999999999994,9,3
3,702011053,Tanami,32,100,66.0,59.2,52.4,8,5
4,702011052,Sandover - Plenty,30,100,65.0,58.0,51.0,10,6
5,702031061,West Arnhem,27,100,63.5,56.2,48.9,6,4
6,702051065,Elsey,26,100,63.0,55.6,48.2,7,5
7,702031058,Daly,23,100,61.5,53.8,46.099999999999994,5,4
7,702051066,Gulf,23,100,61.5,53.8,46.099999999999994,6,4
9,702011054,Yuendumu - Anmatjere,13,100,56.5,47.8,39.1,7,3
10,702011050,Petermann - Simpson,8,100,54.0,44.8,35.6,4,3
11,702031060,Tiwi Islands,6,100,53.0,43.6,34.2,5,3
12,702041062,Anindilyakwa,2,100,51.0,41.2,31.4,3,2
13,702031059,Thamarrurr,1,100,50.5,40.6,30.7,1,1
14,702041063,East Arnhem,15,76,45.5,39.400000000000006,33.3,15,8
15,702031057,Alligator,3,68,35.5,29.000000000000004,22.5,1,1
16,702051067,Katherine,1,18,9.5,7.8,6.1,2,2
